"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000001376",1668,1891,2002,1531,1774,1559
"ENSMUSG00000001380",77,134,168,152,132,108
"ENSMUSG00000001383",2110,2304,3069,2511,3055,2655
"ENSMUSG00000001403",2796,2773,3645,3175,3232,3700
"ENSMUSG00000001415",52,44,65,56,58,34
"ENSMUSG00000001416",1622,1873,2108,1894,2004,2061
"ENSMUSG00000001418",30,40,56,39,28,95
"ENSMUSG00000001419",195,230,236,197,323,343
"ENSMUSG00000001420",15,26,41,11,12,38
"ENSMUSG00000001424",687,665,965,686,657,847
"ENSMUSG00000001435",0,0,0,2,0,0
"ENSMUSG00000001436",31,18,71,29,104,28
"ENSMUSG00000001440",481,506,653,517,600,584
"ENSMUSG00000001441",20,47,65,36,55,73
"ENSMUSG00000001444",0,0,0,0,0,0
"ENSMUSG00000001445",1761,1846,2240,1748,2011,1946
"ENSMUSG00000001467",43,44,75,23,31,55
"ENSMUSG00000001472",898,1085,1531,1259,1790,1496
"ENSMUSG00000001473",1413,1208,1997,1587,1824,2922
"ENSMUSG00000001482",6,44,43,44,35,32
"ENSMUSG00000001493",11,15,5,7,8,7
"ENSMUSG00000001494",8,8,9,15,7,13
"ENSMUSG00000001496",0,0,0,0,0,0
"ENSMUSG00000001497",3,13,11,10,14,6
"ENSMUSG00000001504",0,0,4,0,15,1
"ENSMUSG00000001506",0,1,11,1,0,3
"ENSMUSG00000001507",1,1,5,8,8,16
"ENSMUSG00000001508",17,38,16,15,38,35
"ENSMUSG00000001510",0,0,0,1,7,2
"ENSMUSG00000001517",253,272,364,285,392,386
"ENSMUSG00000001518",22,24,64,55,23,39
"ENSMUSG00000001520",0,0,0,0,0,2
"ENSMUSG00000001521",961,989,1647,997,1132,1446
"ENSMUSG00000001524",26,22,63,16,41,35
"ENSMUSG00000001525",712,672,928,855,942,924
"ENSMUSG00000001542",250,142,203,242,230,405
"ENSMUSG00000001552",96,100,182,123,188,224
"ENSMUSG00000001555",0,0,0,0,1,0
"ENSMUSG00000001558",0,5,0,0,0,0
"ENSMUSG00000001566",0,0,0,4,1,0
"ENSMUSG00000001569",78,131,203,139,136,110
"ENSMUSG00000001576",145,197,281,201,240,236
"ENSMUSG00000001583",0,0,0,0,0,0
"ENSMUSG00000001588",12,8,14,0,15,2
"ENSMUSG00000001604",457,553,726,509,566,643
"ENSMUSG00000001622",0,0,0,0,0,0
"ENSMUSG00000001627",3432,3250,4832,2800,3800,3748
"ENSMUSG00000001630",244,278,396,268,330,312
"ENSMUSG00000001632",26,17,31,20,50,44
"ENSMUSG00000001642",1360,1551,1766,1377,1302,1425
"ENSMUSG00000001655",4,1,0,17,11,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,1,0
"ENSMUSG00000001661",5,0,7,6,0,7
"ENSMUSG00000001663",0,0,2,5,1,4
"ENSMUSG00000001665",24,15,8,27,23,26
"ENSMUSG00000001666",26,21,27,42,37,38
"ENSMUSG00000001670",42,40,36,21,7,10
"ENSMUSG00000001672",27,18,69,26,44,85
"ENSMUSG00000001674",2092,2187,2772,2245,3225,2593
"ENSMUSG00000001687",1114,1305,1267,987,1365,1359
"ENSMUSG00000001700",6,13,0,2,9,0
"ENSMUSG00000001707",1103,1042,1200,1133,1161,1198
"ENSMUSG00000001729",555,586,761,537,685,736
