"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000001134",191,293,234,276,177,179
"ENSMUSG00000001138",229,182,249,232,186,186
"ENSMUSG00000001143",449,365,505,440,386,510
"ENSMUSG00000001150",553,405,542,456,411,427
"ENSMUSG00000001151",1005,671,1096,890,908,1113
"ENSMUSG00000001155",1,3,2,16,2,0
"ENSMUSG00000001156",114,110,117,110,90,91
"ENSMUSG00000001157",139,161,131,177,177,118
"ENSMUSG00000001158",385,511,389,466,415,283
"ENSMUSG00000001166",14,12,9,21,8,8
"ENSMUSG00000001168",0,0,0,0,1,0
"ENSMUSG00000001173",310,247,295,326,332,242
"ENSMUSG00000001175",3618,3175,3140,3728,3430,2995
"ENSMUSG00000001211",2846,3009,3335,2646,2894,2638
"ENSMUSG00000001225",45,1,2,0,0,3
"ENSMUSG00000001227",142,111,129,114,142,144
"ENSMUSG00000001228",49,22,15,46,24,24
"ENSMUSG00000001229",632,355,647,591,571,625
"ENSMUSG00000001240",445,340,406,308,303,284
"ENSMUSG00000001247",42,14,18,16,12,8
"ENSMUSG00000001248",691,551,655,568,499,481
"ENSMUSG00000001249",15,17,22,34,21,13
"ENSMUSG00000001260",1,0,0,0,0,0
"ENSMUSG00000001270",618,379,515,557,448,458
"ENSMUSG00000001280",809,551,726,681,694,652
"ENSMUSG00000001281",12,24,10,18,22,20
"ENSMUSG00000001285",186,166,179,133,161,125
"ENSMUSG00000001288",267,189,206,230,197,209
"ENSMUSG00000001289",1163,1976,1497,1255,1316,944
"ENSMUSG00000001300",412,249,317,322,321,371
"ENSMUSG00000001305",108,74,131,87,111,90
"ENSMUSG00000001313",64,65,54,58,53,47
"ENSMUSG00000001323",473,311,492,465,468,442
"ENSMUSG00000001333",288,168,277,280,244,303
"ENSMUSG00000001334",5509,6081,6857,5773,5284,4788
"ENSMUSG00000001348",36,19,16,11,6,13
"ENSMUSG00000001349",24,15,21,7,26,23
"ENSMUSG00000001366",635,395,552,483,422,423
"ENSMUSG00000001376",383,322,366,388,402,346
"ENSMUSG00000001380",454,371,483,502,478,429
"ENSMUSG00000001383",651,809,690,724,613,572
"ENSMUSG00000001403",32,17,22,43,18,3
"ENSMUSG00000001415",1042,887,1105,1138,1019,1048
"ENSMUSG00000001416",1774,1461,2062,2036,1760,1616
"ENSMUSG00000001418",461,403,518,423,397,412
"ENSMUSG00000001419",2614,2066,2702,2088,2279,2471
"ENSMUSG00000001420",28,24,22,31,13,20
"ENSMUSG00000001424",929,589,870,831,747,856
"ENSMUSG00000001435",197,79,163,177,161,113
"ENSMUSG00000001436",59,45,56,42,29,38
"ENSMUSG00000001440",2437,1804,2130,2237,2152,1993
"ENSMUSG00000001441",1793,1080,1513,1640,1630,1626
"ENSMUSG00000001444",3,1,1,1,0,4
"ENSMUSG00000001445",679,708,770,700,719,625
"ENSMUSG00000001467",220,236,232,286,258,225
"ENSMUSG00000001472",2717,1940,3008,2244,2078,2100
"ENSMUSG00000001473",234,249,307,306,225,197
"ENSMUSG00000001482",841,837,1029,855,971,877
"ENSMUSG00000001493",301,164,241,241,166,148
"ENSMUSG00000001494",16,0,4,5,1,1
"ENSMUSG00000001496",0,0,0,0,0,0
"ENSMUSG00000001497",12,0,5,0,0,0
"ENSMUSG00000001504",12,91,18,60,42,5
"ENSMUSG00000001506",1165,511,651,1114,955,773
"ENSMUSG00000001507",220,121,173,141,127,155
"ENSMUSG00000001508",1173,1252,1557,1345,1250,1282
"ENSMUSG00000001510",1,0,2,0,0,0
"ENSMUSG00000001517",30,14,11,37,19,13
"ENSMUSG00000001518",246,144,257,158,130,140
"ENSMUSG00000001520",25,10,23,16,21,24
"ENSMUSG00000001521",132,125,135,140,111,132
"ENSMUSG00000001524",137,127,180,190,156,125
"ENSMUSG00000001525",1503,908,1250,1266,1075,924
"ENSMUSG00000001542",294,248,405,231,281,357
"ENSMUSG00000001552",2128,1565,2068,2506,2193,2514
"ENSMUSG00000001555",358,324,475,267,288,312
"ENSMUSG00000001558",8,12,9,6,18,12
"ENSMUSG00000001566",0,0,0,0,0,0
"ENSMUSG00000001569",363,265,349,358,357,286
"ENSMUSG00000001576",605,440,556,555,527,531
"ENSMUSG00000001583",2,1,6,0,2,1
"ENSMUSG00000001588",76,24,17,24,13,12
"ENSMUSG00000001604",996,1210,1087,1078,1133,1043
"ENSMUSG00000001622",0,0,0,0,0,0
"ENSMUSG00000001627",748,850,824,655,720,734
"ENSMUSG00000001630",402,318,344,343,324,357
"ENSMUSG00000001632",294,255,300,271,307,282
"ENSMUSG00000001642",2194,2619,2650,2875,2596,2122
"ENSMUSG00000001655",0,0,1,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",2,2,1,0,0,0
"ENSMUSG00000001661",1,3,1,0,2,0
"ENSMUSG00000001663",265,243,300,172,156,128
