"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000000791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000792",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000794",0,10,20,27,0,0,0,23,1,0,0,1
"ENSMUSG00000000804",84,135,115,39,102,47,60,86,145,26,27,51
"ENSMUSG00000000805",0,47,52,74,46,24,42,138,100,20,46,33
"ENSMUSG00000000811",31,72,11,3,54,0,34,15,63,4,0,28
"ENSMUSG00000000817",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000823",48,80,110,7,104,9,64,148,151,36,85,67
"ENSMUSG00000000826",247,544,463,373,591,34,194,828,321,149,107,173
"ENSMUSG00000000827",436,252,243,274,494,145,198,705,765,389,298,279
"ENSMUSG00000000838",100,148,45,112,88,37,73,146,175,64,85,40
"ENSMUSG00000000861",1,40,1,0,2,0,0,1,1,0,0,0
"ENSMUSG00000000869",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000876",245,261,217,143,256,42,131,292,441,124,116,136
"ENSMUSG00000000881",31,16,0,0,0,1,0,0,32,20,0,2
"ENSMUSG00000000884",3,0,17,5,24,0,0,1,0,0,0,0
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000901",19,20,17,50,52,5,16,56,98,8,48,3
"ENSMUSG00000000902",106,173,109,134,74,30,44,279,141,53,37,126
"ENSMUSG00000000903",0,0,3,1,1,0,0,1,0,0,3,7
"ENSMUSG00000000915",72,43,16,0,23,1,5,61,42,0,35,72
"ENSMUSG00000000916",5,1,99,67,105,25,36,39,38,34,0,55
"ENSMUSG00000000934",47,66,49,93,150,62,5,112,61,47,38,0
"ENSMUSG00000000938",363,360,635,804,205,164,316,951,815,433,246,339
"ENSMUSG00000000942",48,67,2,44,66,44,19,214,92,77,29,37
"ENSMUSG00000000948",2,0,0,0,2,0,0,3,13,7,0,0
"ENSMUSG00000000957",106,244,139,79,69,4,4,176,101,37,4,2
"ENSMUSG00000000958",10,1,0,5,0,0,0,40,0,0,0,0
"ENSMUSG00000000959",235,124,133,175,262,68,134,358,373,78,84,178
"ENSMUSG00000000976",245,319,317,368,197,96,180,620,382,222,215,157
"ENSMUSG00000000982",0,0,0,1,0,1,0,1,0,0,0,0
"ENSMUSG00000000983",0,59,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000001014",42,34,59,18,47,1,52,39,80,54,2,99
"ENSMUSG00000001016",488,379,435,421,357,154,239,778,603,261,107,280
"ENSMUSG00000001017",580,425,388,255,352,148,187,468,628,255,191,446
"ENSMUSG00000001018",1204,997,1228,906,924,161,644,1656,1812,583,458,953
"ENSMUSG00000001020",4,13,11,32,14,8,4,52,9,21,27,16
"ENSMUSG00000001021",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001023",1,1156,2,63,2,20,0,1,7,1,0,2
"ENSMUSG00000001025",648,590,534,640,1150,281,356,1248,1215,432,583,276
"ENSMUSG00000001027",320,371,239,179,120,45,142,239,311,107,74,161
"ENSMUSG00000001029",195,85,219,50,29,2,38,74,101,17,20,2
"ENSMUSG00000001034",9,0,0,1,12,0,1,7,62,0,0,1
"ENSMUSG00000001036",309,496,167,250,225,12,172,382,362,140,123,153
"ENSMUSG00000001039",28,78,1,37,54,63,0,13,19,60,3,2
"ENSMUSG00000001052",204,77,87,233,22,0,34,230,148,35,29,20
"ENSMUSG00000001053",31,5,2,2,0,21,0,31,7,29,25,0
"ENSMUSG00000001054",162,115,116,138,139,104,155,288,84,46,150,114
"ENSMUSG00000001056",612,425,766,398,665,146,396,716,781,300,223,363
"ENSMUSG00000001062",28,30,21,10,101,21,26,83,74,67,8,63
"ENSMUSG00000001065",13,0,1,0,1,3,20,16,1,0,29,1
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001082",46,3,0,41,14,1,0,4,56,28,8,29
"ENSMUSG00000001089",288,189,126,83,48,47,127,256,136,162,106,97
"ENSMUSG00000001095",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001098",81,90,9,25,237,24,3,192,178,75,51,82
"ENSMUSG00000001100",1184,802,713,715,788,214,476,1450,1312,752,300,532
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",371,385,342,320,400,295,106,575,632,145,123,244
"ENSMUSG00000001119",204,235,154,148,435,89,61,397,522,180,134,93
"ENSMUSG00000001120",21,61,0,5,0,8,43,1,0,31,0,1
"ENSMUSG00000001123",101,121,72,60,133,39,6,97,56,7,90,0
"ENSMUSG00000001127",382,366,477,528,585,182,397,996,734,236,214,407
"ENSMUSG00000001128",84,75,66,48,72,16,0,22,57,14,26,36
"ENSMUSG00000001131",50,28,17,87,18,5,5,62,38,0,23,5
"ENSMUSG00000001134",188,220,237,162,365,127,156,462,549,273,196,135
"ENSMUSG00000001138",118,27,53,83,33,86,59,225,217,18,21,62
"ENSMUSG00000001143",396,209,220,187,234,63,111,354,227,78,157,95
"ENSMUSG00000001150",63,89,32,86,140,27,28,104,63,4,35,48
"ENSMUSG00000001151",656,775,381,478,668,134,388,1138,632,203,216,501
"ENSMUSG00000001155",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001156",68,0,68,19,0,33,11,105,18,67,9,23
"ENSMUSG00000001157",34,28,69,33,25,17,1,45,65,54,30,31
"ENSMUSG00000001158",3971,3285,3744,3206,3499,1212,2098,4241,4703,2650,1679,3190
"ENSMUSG00000001166",0,0,0,1,0,0,0,1,0,0,0,0
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",83,3,23,125,98,31,0,133,90,58,58,8
"ENSMUSG00000001175",39049,38485,42604,30574,40253,10469,20922,47914,50006,27837,14098,27203
"ENSMUSG00000001211",814,1023,487,853,569,296,434,1162,837,146,316,317
"ENSMUSG00000001225",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001227",49,43,54,33,2,3,11,6,5,3,2,19
"ENSMUSG00000001228",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001229",278,230,342,240,156,91,118,211,322,34,32,192
"ENSMUSG00000001240",106,112,216,163,91,22,29,130,206,106,97,44
"ENSMUSG00000001247",0,25,1,0,0,0,1,1,3,0,0,0
"ENSMUSG00000001248",59,50,20,90,57,15,5,71,37,38,52,54
"ENSMUSG00000001249",25,81,91,39,147,8,25,35,111,28,88,29
"ENSMUSG00000001260",15,0,0,0,20,0,0,0,0,0,0,0
"ENSMUSG00000001270",49,283,99,112,142,73,81,66,29,6,29,31
"ENSMUSG00000001280",77,189,63,44,175,18,74,259,147,78,37,96
"ENSMUSG00000001281",18,0,0,2,9,1,0,8,2,17,23,18
"ENSMUSG00000001285",120,66,72,126,165,35,80,55,146,63,54,45
"ENSMUSG00000001288",140,100,39,12,15,30,17,68,99,10,32,16
"ENSMUSG00000001289",951,809,869,833,1244,431,613,1610,1477,614,627,489
"ENSMUSG00000001300",84,26,111,46,40,25,0,114,93,47,35,76
"ENSMUSG00000001305",103,89,92,24,173,59,99,191,167,197,72,63
"ENSMUSG00000001313",50,2,22,3,24,0,3,36,24,26,0,0
