"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000000194",294,447,333,452,378,527,276,417,287
"ENSMUSG00000000197",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",2,5,2,2,2,6,1,3,3
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",0,0,0,2,0,0,0,0,0
"ENSMUSG00000000244",4,0,0,1,0,3,0,0,0
"ENSMUSG00000000247",43,71,50,39,46,72,27,52,22
"ENSMUSG00000000248",0,0,2,0,0,0,0,0,0
"ENSMUSG00000000253",9,20,2,13,12,15,5,1,7
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",46,94,78,111,81,115,84,54,67
"ENSMUSG00000000275",1447,2286,2016,2678,2494,2954,1570,2123,1210
"ENSMUSG00000000276",40,49,42,60,54,43,36,33,31
"ENSMUSG00000000278",442,597,408,622,493,469,385,543,425
"ENSMUSG00000000282",246,222,258,273,238,233,208,232,124
"ENSMUSG00000000290",57,94,38,83,69,111,77,74,44
"ENSMUSG00000000295",14,21,14,6,17,7,0,6,12
"ENSMUSG00000000296",68,95,78,87,84,71,48,79,53
"ENSMUSG00000000301",4228,4887,3160,3577,3589,3767,3216,3867,2493
"ENSMUSG00000000303",655,1094,667,545,847,894,247,369,194
"ENSMUSG00000000305",6,5,4,22,6,20,8,25,27
"ENSMUSG00000000308",0,0,0,1,0,0,0,0,0
"ENSMUSG00000000317",21,14,36,19,13,17,42,15,11
"ENSMUSG00000000318",0,3,7,3,3,1,1,2,3
"ENSMUSG00000000320",8,2,11,13,6,3,5,0,3
"ENSMUSG00000000326",14287,19687,12409,10806,11990,19057,8455,12994,7672
"ENSMUSG00000000339",120,181,145,188,131,178,99,159,134
"ENSMUSG00000000340",1954,2244,1689,2157,2413,2576,1917,2309,1268
"ENSMUSG00000000346",1528,1716,1375,1938,1611,2179,1626,1921,1271
"ENSMUSG00000000355",363,393,274,403,299,468,272,378,211
"ENSMUSG00000000359",5,4,1,1,11,9,8,0,5
"ENSMUSG00000000365",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000374",382,508,430,724,610,782,563,581,342
"ENSMUSG00000000378",335,391,282,348,342,398,285,376,190
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",551,675,479,834,617,740,530,723,380
"ENSMUSG00000000385",47,61,51,54,63,91,39,28,59
"ENSMUSG00000000386",15,13,10,6,1,26,4,2,22
"ENSMUSG00000000392",4,1,2,1,0,0,6,0,1
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",1701,1979,1154,1662,1643,1831,1210,1542,1066
"ENSMUSG00000000402",0,0,0,0,2,4,0,6,0
"ENSMUSG00000000409",7,10,4,8,7,8,10,4,7
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",3,15,3,5,7,4,4,1,5
"ENSMUSG00000000420",725,942,790,1111,992,1211,826,901,658
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",374,297,322,293,262,378,230,344,223
"ENSMUSG00000000440",106,75,66,94,68,102,39,43,39
"ENSMUSG00000000441",1337,1567,1274,1585,1525,2137,1330,1673,1095
"ENSMUSG00000000486",17,16,1,22,3,25,10,5,13
"ENSMUSG00000000489",22,32,19,11,28,34,18,12,24
"ENSMUSG00000000530",20,48,35,44,30,25,23,37,26
"ENSMUSG00000000531",13,25,6,33,18,44,31,25,10
"ENSMUSG00000000532",200,235,230,283,262,295,152,202,163
"ENSMUSG00000000538",423,534,444,463,520,653,333,513,340
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",285,244,161,324,259,281,224,238,176
"ENSMUSG00000000555",559,788,492,881,783,800,545,656,376
"ENSMUSG00000000560",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000561",178,265,165,343,168,258,230,238,140
"ENSMUSG00000000562",0,1,0,0,0,2,0,0,0
"ENSMUSG00000000563",5258,6690,3828,4966,4967,5878,3718,4862,2932
"ENSMUSG00000000567",120,174,100,251,203,212,135,188,70
"ENSMUSG00000000568",465,495,386,858,534,522,497,415,441
"ENSMUSG00000000579",8,7,8,12,9,19,11,9,6
"ENSMUSG00000000581",560,649,432,612,598,753,467,581,423
"ENSMUSG00000000594",1669,2028,1397,1381,1719,1793,812,1181,691
"ENSMUSG00000000600",327,332,206,459,358,485,316,380,220
"ENSMUSG00000000605",938,1076,1067,1391,1210,1609,1076,1245,849
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",2,1,0,0,4,0,0,1,0
"ENSMUSG00000000628",4,16,10,13,20,30,16,19,12
"ENSMUSG00000000631",1361,1895,1634,2344,1805,2166,1807,2147,1375
"ENSMUSG00000000632",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000673",6606,8153,5680,5544,5833,5915,3886,5185,3323
"ENSMUSG00000000682",50,62,46,46,23,72,40,34,19
"ENSMUSG00000000686",482,868,901,880,929,1044,621,823,482
"ENSMUSG00000000690",2,3,1,0,0,4,0,0,0
"ENSMUSG00000000693",38,33,30,16,22,21,15,48,14
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000708",1155,1294,1191,1126,1313,1726,1128,1442,963
"ENSMUSG00000000711",1517,1867,1636,1679,1563,2081,1358,1690,1194
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000732",16,19,9,9,7,8,7,4,6
"ENSMUSG00000000738",716,877,706,1096,899,908,644,823,574
"ENSMUSG00000000739",102,181,80,36,45,72,49,11,31
"ENSMUSG00000000740",2529,3248,1859,3246,2647,2808,2147,2461,1502
"ENSMUSG00000000743",922,1065,817,1068,1013,1203,753,979,706
"ENSMUSG00000000751",428,614,497,469,447,586,283,367,280
"ENSMUSG00000000753",9083,10531,7627,7740,8209,9831,6501,8270,5042
"ENSMUSG00000000759",187,259,181,319,222,243,194,212,196
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000776",119,151,93,232,116,169,152,147,70
"ENSMUSG00000000782",42,54,49,79,56,61,48,53,28
"ENSMUSG00000000787",2814,4506,3196,4478,4115,5780,3989,4777,2576
"ENSMUSG00000000791",21,18,14,33,27,16,26,54,9
"ENSMUSG00000000792",0,0,2,3,0,1,0,0,0
"ENSMUSG00000000794",1,0,0,3,0,0,2,0,0
"ENSMUSG00000000804",467,541,570,548,600,756,538,675,443
"ENSMUSG00000000805",0,0,0,1,0,0,0,0,0
"ENSMUSG00000000811",117,101,112,86,90,109,75,64,42
"ENSMUSG00000000817",0,0,2,0,0,0,2,1,4
"ENSMUSG00000000823",285,369,310,384,327,450,337,382,257
"ENSMUSG00000000826",1002,1200,1106,1495,1401,1669,1233,1367,714
"ENSMUSG00000000827",425,503,383,534,468,581,387,482,293
"ENSMUSG00000000838",284,392,331,446,355,540,356,383,261
"ENSMUSG00000000861",4,1,0,0,0,2,0,7,0
"ENSMUSG00000000869",1,0,0,1,0,0,0,0,0
"ENSMUSG00000000876",2441,2858,1689,2654,2297,2866,1564,2121,1763
"ENSMUSG00000000881",336,438,415,330,443,534,225,338,247
"ENSMUSG00000000884",4,12,10,24,8,15,11,17,18
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000901",2302,914,897,724,980,1252,1183,1185,851
"ENSMUSG00000000902",284,358,294,406,254,344,286,284,206
"ENSMUSG00000000903",17,12,1,4,5,1,8,2,1
"ENSMUSG00000000915",650,986,756,803,694,842,414,545,299
"ENSMUSG00000000916",157,201,126,293,172,181,163,210,128
"ENSMUSG00000000934",312,320,214,305,219,299,234,240,184
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942",1,10,0,1,0,4,3,9,3
"ENSMUSG00000000948",2,1,2,21,7,4,3,0,7
"ENSMUSG00000000957",693,890,545,946,857,851,784,763,587
"ENSMUSG00000000958",46,50,9,41,39,49,34,19,20
"ENSMUSG00000000959",669,686,471,689,592,714,497,631,356
"ENSMUSG00000000976",250,337,261,504,322,399,286,301,206
"ENSMUSG00000000982",2,0,0,1,0,4,0,4,3
"ENSMUSG00000000983",4,1,2,1,1,0,0,0,0
"ENSMUSG00000001014",7,12,2,13,6,9,6,0,3
"ENSMUSG00000001016",254,297,181,219,207,271,150,193,133
"ENSMUSG00000001017",1018,1235,918,1247,1207,1476,993,1130,793
"ENSMUSG00000001018",196,179,174,233,197,254,130,189,168
"ENSMUSG00000001020",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001021",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025",17,16,0,19,7,5,5,2,5
"ENSMUSG00000001027",0,0,0,0,0,0,0,3,0
"ENSMUSG00000001029",34,37,17,40,18,36,15,19,10
"ENSMUSG00000001034",30,42,30,27,35,43,20,19,28
"ENSMUSG00000001036",124,116,92,156,127,204,158,87,89
"ENSMUSG00000001039",1,2,5,3,2,4,2,0,3
"ENSMUSG00000001052",357,509,427,518,435,475,442,495,301
"ENSMUSG00000001053",96,147,82,170,129,115,63,89,54
"ENSMUSG00000001054",171,199,96,261,179,186,136,179,106
"ENSMUSG00000001056",366,445,251,473,230,319,205,299,166
"ENSMUSG00000001062",400,377,306,273,316,383,204,273,214
"ENSMUSG00000001065",458,602,371,445,432,437,344,361,349
"ENSMUSG00000001076",3,4,0,6,3,1,2,0,0
"ENSMUSG00000001082",59,41,26,61,61,51,35,62,20
"ENSMUSG00000001089",266,376,322,445,446,543,341,352,256
"ENSMUSG00000001095",35,67,78,29,72,46,17,36,14
"ENSMUSG00000001098",191,348,230,321,268,354,221,233,191
"ENSMUSG00000001100",1290,1453,1028,1574,1336,1680,1176,1481,902
"ENSMUSG00000001103",8,10,10,12,20,14,5,14,12
"ENSMUSG00000001105",718,851,584,636,644,965,586,716,517
"ENSMUSG00000001119",60,117,73,80,70,110,77,26,50
"ENSMUSG00000001120",3,4,2,5,14,6,7,3,1
"ENSMUSG00000001123",5623,5719,4754,5135,4714,6204,4127,5292,4239
"ENSMUSG00000001127",965,1040,750,1073,866,1120,873,871,648
"ENSMUSG00000001128",172,333,215,217,147,324,121,202,132
"ENSMUSG00000001131",0,4,0,2,7,0,0,0,0
"ENSMUSG00000001134",250,257,121,193,176,256,122,190,113
