"","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F3","Mmus_C57-6T_LVR_GC_Rep1_G1","Mmus_C57-6T_LVR_GC_Rep2_G2","Mmus_C57-6T_LVR_GC_Rep3_G3","Mmus_C57-6T_SPL_FLT_Rep1_F1","Mmus_C57-6T_SPL_FLT_Rep2_F2","Mmus_C57-6T_SPL_FLT_Rep3_F3","Mmus_C57-6T_SPL_GC_Rep1_G1","Mmus_C57-6T_SPL_GC_Rep2_G2","Mmus_C57-6T_SPL_GC_Rep3_G3"
"ENSMUSG00000000876",1871,1624,1740,1217,1635,1676,301,338,415,395,291,290
"ENSMUSG00000000881",453,356,167,446,334,270,324,399,459,295,385,311
"ENSMUSG00000000884",25,17,24,26,16,16,56,60,93,110,55,46
"ENSMUSG00000000889",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000901",15,16,11,17,6,15,64,89,88,98,76,52
"ENSMUSG00000000902",339,271,401,287,240,251,1076,1281,1518,1530,1095,1015
"ENSMUSG00000000903",5,7,28,12,16,10,193,238,359,352,338,177
"ENSMUSG00000000915",733,642,485,374,701,549,2146,3607,5176,2762,3354,2931
"ENSMUSG00000000916",178,173,204,155,148,117,334,411,548,336,431,350
"ENSMUSG00000000934",481,410,234,371,316,289,113,150,187,166,122,123
"ENSMUSG00000000938",0,0,0,0,0,0,0,2,0,1,1,0
"ENSMUSG00000000942",4,1,3,4,7,3,12,7,11,24,6,9
"ENSMUSG00000000948",20,16,0,19,20,9,3,9,6,1,7,6
"ENSMUSG00000000957",941,681,584,571,532,481,796,857,971,982,650,613
"ENSMUSG00000000958",55,64,46,47,55,60,546,483,743,654,514,544
"ENSMUSG00000000959",816,751,856,780,661,597,870,1137,1486,1430,1103,976
"ENSMUSG00000000976",382,433,187,264,329,274,667,891,1208,616,885,839
"ENSMUSG00000000982",3,1,0,4,1,1,11,10,10,34,12,15
"ENSMUSG00000000983",0,2,2,1,0,1,3,0,7,11,2,6
"ENSMUSG00000001014",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001016",371,277,239,291,256,229,1190,1330,1567,1436,1228,1164
"ENSMUSG00000001017",1123,926,695,941,769,742,2387,2667,3099,3339,2762,2475
"ENSMUSG00000001018",394,294,110,380,307,229,602,626,897,872,725,652
"ENSMUSG00000001020",1,0,1,1,0,0,7,7,6,24,7,7
"ENSMUSG00000001021",0,0,0,0,0,0,2,0,4,4,0,0
"ENSMUSG00000001023",0,0,0,0,0,0,1,0,1,2,0,0
"ENSMUSG00000001025",54,33,53,44,50,40,990,1192,1290,3187,1542,1068
"ENSMUSG00000001027",4,1,1,1,4,5,364,526,811,400,605,608
"ENSMUSG00000001029",71,80,195,53,55,75,497,665,922,1024,789,675
"ENSMUSG00000001034",94,60,27,53,49,48,471,616,793,518,555,554
"ENSMUSG00000001036",195,175,113,198,140,181,406,785,828,466,650,573
"ENSMUSG00000001039",8,4,15,3,6,8,41,32,48,48,33,41
"ENSMUSG00000001052",536,469,136,393,426,372,1226,1751,2132,1130,1610,1594
"ENSMUSG00000001053",98,67,89,73,68,79,256,345,481,519,392,337
"ENSMUSG00000001054",325,277,198,217,225,232,633,767,978,860,756,688
"ENSMUSG00000001056",296,294,727,290,290,249,774,747,1057,1487,770,818
"ENSMUSG00000001062",535,674,280,453,481,520,405,580,849,542,539,587
"ENSMUSG00000001065",683,1075,185,547,678,822,414,643,783,375,559,600
"ENSMUSG00000001076",2,0,3,1,0,0,1,1,0,3,0,0
"ENSMUSG00000001082",85,85,96,78,89,75,570,680,844,917,598,591
"ENSMUSG00000001089",392,384,94,289,296,247,492,581,717,312,502,547
"ENSMUSG00000001095",7,22,4,6,11,5,9,4,7,4,5,5
"ENSMUSG00000001098",147,134,8,103,146,112,742,1004,1278,401,992,927
"ENSMUSG00000001100",1634,1644,2037,1583,1487,1475,548,636,775,812,581,592
"ENSMUSG00000001103",8,8,12,4,4,2,0,0,0,0,0,0
"ENSMUSG00000001105",797,809,1138,665,682,547,641,707,770,1330,719,576
"ENSMUSG00000001119",200,93,67,100,121,164,385,533,547,370,394,305
"ENSMUSG00000001120",24,15,16,22,20,26,74,90,72,92,68,69
"ENSMUSG00000001123",10360,8058,4893,6526,6279,5526,2043,1896,1954,2276,1583,1510
"ENSMUSG00000001127",1757,1524,766,1559,1375,1217,1840,2524,3168,2360,2339,2294
"ENSMUSG00000001128",455,273,726,262,229,422,2327,2297,3686,4828,2438,2784
