"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000000489",359,402,399,793,343,333,618,334,702
"ENSMUSG00000000530",402,598,428,884,807,921,1109,626,1036
"ENSMUSG00000000531",543,929,491,1527,187,182,618,520,1170
"ENSMUSG00000000532",1885,2672,2718,5443,7383,5335,5462,2410,4978
"ENSMUSG00000000538",7963,11695,11553,18721,13539,13193,14471,7072,19228
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",480,574,906,1266,1633,1190,1474,432,1432
"ENSMUSG00000000555",94,70,45,183,78,81,94,106,103
"ENSMUSG00000000560",2769,1988,1581,7611,8016,9802,11215,5679,2913
"ENSMUSG00000000561",519,582,719,1292,2082,1930,1580,692,1807
"ENSMUSG00000000562",14,23,7,28,13,15,17,28,21
"ENSMUSG00000000563",7609,8629,8714,13376,21595,22263,21431,9344,21375
"ENSMUSG00000000567",1187,1211,1101,2567,2390,2244,1704,1123,2617
"ENSMUSG00000000568",2165,3138,3229,6466,7206,5824,5027,2380,8292
"ENSMUSG00000000579",53,76,66,121,307,304,212,67,114
"ENSMUSG00000000581",2019,2289,2841,4509,4776,4863,4584,3745,6287
"ENSMUSG00000000594",1983,2773,3199,4810,5744,6628,5343,2654,5780
"ENSMUSG00000000600",963,1304,1667,3240,3847,3310,2923,1363,2876
"ENSMUSG00000000605",5039,6116,7065,10401,15015,13743,12980,5186,14226
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,3,1,0
"ENSMUSG00000000627",427,503,430,1248,2962,2041,1833,355,1040
"ENSMUSG00000000628",153,269,223,486,3304,1828,1391,240,354
"ENSMUSG00000000631",3211,4996,4589,9490,5956,5213,5985,3647,7883
"ENSMUSG00000000632",1289,614,1641,4523,2968,2225,2344,2916,2581
"ENSMUSG00000000673",2,10,5,5,4,3,5,4,7
"ENSMUSG00000000682",126,196,99,194,155,199,175,200,231
"ENSMUSG00000000686",15,37,53,76,98,70,111,41,79
"ENSMUSG00000000690",0,0,0,1,2,2,10,0,0
"ENSMUSG00000000693",129,178,205,308,297,321,369,196,354
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",1,0,7,10,16,19,16,3,19
"ENSMUSG00000000708",1028,1138,1361,2165,8535,7814,5073,1197,2495
"ENSMUSG00000000711",3740,4764,5247,8838,9704,9466,8419,4577,10595
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",1,2,0,3,0,0,1,0,5
"ENSMUSG00000000731",0,0,0,7,0,0,3,2,4
"ENSMUSG00000000732",91,92,172,226,874,709,532,147,244
"ENSMUSG00000000738",971,1395,1470,2705,2969,2515,2425,1087,2423
"ENSMUSG00000000739",6,3,10,14,18,6,15,3,16
"ENSMUSG00000000740",7589,9663,9135,14058,10681,13398,13369,11093,17643
"ENSMUSG00000000743",2419,3373,3234,5270,4002,3408,4229,2863,5489
"ENSMUSG00000000751",1128,1301,1959,2666,5928,5683,4784,1537,3969
"ENSMUSG00000000753",244,373,297,413,621,643,782,214,758
"ENSMUSG00000000759",516,615,781,1521,2165,2004,1794,726,1547
"ENSMUSG00000000766",87,106,1247,517,117,182,167,391,621
"ENSMUSG00000000776",278,314,528,661,1156,1026,833,336,860
"ENSMUSG00000000782",90,84,74,150,87,100,118,112,112
"ENSMUSG00000000787",7101,8110,9309,15847,35744,28860,22948,8508,22323
"ENSMUSG00000000791",18,9,4,27,16,34,33,9,24
"ENSMUSG00000000792",83,83,255,260,148,143,362,189,739
"ENSMUSG00000000794",904,1166,2273,3008,663,793,983,1670,2069
"ENSMUSG00000000804",7518,11717,9127,15921,10914,10429,11209,5529,17282
"ENSMUSG00000000805",361,546,355,652,4441,3917,3170,252,904
"ENSMUSG00000000811",132,157,177,215,277,268,290,160,319
"ENSMUSG00000000817",1,0,1,15,11,6,5,0,7
"ENSMUSG00000000823",824,958,996,2537,2319,1585,1395,931,1938
"ENSMUSG00000000826",7682,11504,12319,20938,23845,18503,17998,9140,21372
"ENSMUSG00000000827",1217,1663,1684,2658,4763,4313,4310,1803,4137
"ENSMUSG00000000838",1821,2861,2368,4225,5884,5640,4743,1799,5785
"ENSMUSG00000000861",783,1126,950,3435,547,424,952,954,2420
"ENSMUSG00000000869",0,1,0,1,5,5,5,6,4
