"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000000759",735,724,852,955,734
"ENSMUSG00000000766",1,0,0,0,0
"ENSMUSG00000000776",183,154,249,232,145
"ENSMUSG00000000782",2447,901,2277,1800,969
"ENSMUSG00000000787",3953,4312,3325,4870,4561
"ENSMUSG00000000791",55,52,63,64,56
"ENSMUSG00000000792",0,7,5,3,7
"ENSMUSG00000000794",0,7,11,6,6
"ENSMUSG00000000804",629,797,472,761,963
"ENSMUSG00000000805",0,0,1,0,1
"ENSMUSG00000000811",43,68,95,69,59
"ENSMUSG00000000817",49,25,39,48,35
"ENSMUSG00000000823",574,430,683,704,410.96
"ENSMUSG00000000826",1832,1891,2433,2327,1749
"ENSMUSG00000000827",326,415,704,632,411
"ENSMUSG00000000838",764,562,417,692,522
"ENSMUSG00000000861",1328.93,911,1272.97,1302,987
"ENSMUSG00000000869",7,3,7,7,4
"ENSMUSG00000000876",110,152,217,192,141
"ENSMUSG00000000881",72,144,160,194,149
"ENSMUSG00000000884",25,26,42,34.33,26.33
"ENSMUSG00000000889",0,0,0,0,0
"ENSMUSG00000000901",13,26,50,47,33
"ENSMUSG00000000902",485,364,805,678,378
"ENSMUSG00000000903",121,99,161,163,87
"ENSMUSG00000000915",2330.42,1774.19,2545.24,2276.17,1625.79
"ENSMUSG00000000916",209,192.43,297.87,259.13,173.86
"ENSMUSG00000000934",55,62,80,95,63
"ENSMUSG00000000938",0,0,0,1,0
"ENSMUSG00000000942",1,5,5,5,1
"ENSMUSG00000000948",2,5,3,6,3
"ENSMUSG00000000957",18,358,432,347,339
"ENSMUSG00000000958",63,240.36,366.16,327.8,289
"ENSMUSG00000000959",465,603.64,787.84,763.2,560
"ENSMUSG00000000976",468,395,575,471,391
"ENSMUSG00000000982",10,4,3,10,6
"ENSMUSG00000000983",1,0,0,0,1
"ENSMUSG00000001014",6.72,33.54,6,44.4,33.21
"ENSMUSG00000001016",500.53,483.39,687.26,717.9,468.34
"ENSMUSG00000001017",1811,1791,2405,2107,1657
"ENSMUSG00000001018",308.47,359.61,491.74,415.1,334.66
"ENSMUSG00000001020",489,389,830,763,489
"ENSMUSG00000001021",1,2,4,2,0
"ENSMUSG00000001023",1,0,0,0,0
"ENSMUSG00000001025",423,623,1246,1121,575
"ENSMUSG00000001027",289,226,285,284.92,248
"ENSMUSG00000001029",452,317,561,528,352
"ENSMUSG00000001034",261,283,468,410,237
"ENSMUSG00000001036",29,255,287,260,224
"ENSMUSG00000001039",3,11,28,16,8
"ENSMUSG00000001052",684,563,795,830,578
"ENSMUSG00000001053",122,128,267,180,125
"ENSMUSG00000001054",273,261,447,391,293
"ENSMUSG00000001056",260,320,604,499,302
"ENSMUSG00000001062",251,268,421,375,255
"ENSMUSG00000001065",490.91,432.75,783.02,647.51,409.4
"ENSMUSG00000001076",0,1,0,1,0
"ENSMUSG00000001082",174,212,313,291,218
"ENSMUSG00000001089",66,234,276,294,239
"ENSMUSG00000001095",2,2,4,2,1
"ENSMUSG00000001098",933.04,1080.99,1541.84,1223.88,1095.02
"ENSMUSG00000001100",185,264,350,302,228
"ENSMUSG00000001103",0,0,0,0,1
"ENSMUSG00000001105",221,337,440,415,325
"ENSMUSG00000001119",2,287,245,188,269
"ENSMUSG00000001120",30,21,43,27,28
"ENSMUSG00000001123",662,910,1062,1008,904
"ENSMUSG00000001127",1295,1211,1557,1585,1160
"ENSMUSG00000001128",488,1546,2693,2268,1441
"ENSMUSG00000001131",4,17,42,27,23
