"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000000399",2160,1672,2726,2931,2871,2354,4820,2182
"ENSMUSG00000000402",77,62,147,129,138,97,47,87
"ENSMUSG00000000409",26,24,45,33,52,28,135,29
"ENSMUSG00000000411",1,4,6,4,4,3,4,1
"ENSMUSG00000000416",4203,3468,4397,4789,6130,4252,739,3926
"ENSMUSG00000000420",1545,1109,2114,2360,2208,1789,305,1522
"ENSMUSG00000000435",0,0,0,0,0,1,0,0
"ENSMUSG00000000439",604,513,785,826,789,645,939,580
"ENSMUSG00000000440",31,30,45,43,40,61,22,32
"ENSMUSG00000000441",695,595,1005,924,870,814,1004,688
"ENSMUSG00000000486",22,32,45,45,43,40,85,32
"ENSMUSG00000000489",643,606,851,846,811,777,1734,675
"ENSMUSG00000000530",353,266,463,480,537,438,1031,316
"ENSMUSG00000000531",948,1137,1027,1084,1485,1099,1895,915
"ENSMUSG00000000532",3650,2743,4352,4398,4394,3786,3573,3468
"ENSMUSG00000000538",8752,7591,10798,11381,11151,9419,19545,8015
"ENSMUSG00000000544",0,0,0,0,0,0,1,0
"ENSMUSG00000000552",1273,999,2244,2114,1535,1827,7236,1337
"ENSMUSG00000000555",59,57,100,104,120,128,227,66
"ENSMUSG00000000560",3135,2173,2887,3913,4877,3222,215,2907
"ENSMUSG00000000561",744,527,966,1037,977,815,730,790
"ENSMUSG00000000562",17,7,25,28,14,14,14,13
"ENSMUSG00000000563",4371,3201,5869,6601,5995,4972,4327,4407
"ENSMUSG00000000567",1800,1194,2244,2440,2445,2208,1764,1904
"ENSMUSG00000000568",6190,4226,7988,8528,8104,6480,1616,5725
"ENSMUSG00000000579",3,3,3,3,2,0,2,0
"ENSMUSG00000000581",1126,646,1324,1489,1394,1100,254,1005
"ENSMUSG00000000594",1748,1517,2760,2947,2748,2491,6313,1928
"ENSMUSG00000000600",1165,706,1375,1564,1594,1158,119,1074
"ENSMUSG00000000605",6470,5033,7804,8624,8488,6461,1847,6042
"ENSMUSG00000000606",0,0,0,0,0,0,0,0
"ENSMUSG00000000617",1,0,2,1,0,1,1,0
"ENSMUSG00000000627",1377,1275,1538,1524,1821,1380,2960,1211
"ENSMUSG00000000628",207,168,237,245,278,224,135,190
"ENSMUSG00000000631",6359,5720,8197,8151,8063,7264,12584,6100
"ENSMUSG00000000632",6580,6402,8576,7481,8087,8053,22292,5816
"ENSMUSG00000000673",2,6,9,8,12,15,15,6
"ENSMUSG00000000682",25,23,48,34,37,25,64,17
"ENSMUSG00000000686",9,15,25,25,21,24,32,22
"ENSMUSG00000000690",0,0,0,0,0,0,0,1
"ENSMUSG00000000693",121,83,142,187,199,173,307,101
"ENSMUSG00000000701",0,0,0,0,0,0,0,0
"ENSMUSG00000000706",5,0,14,9,3,6,4,1
"ENSMUSG00000000708",716,452,1155,1417,1147,1017,142,827
"ENSMUSG00000000711",2641,1985,3177,3579,3306,2779,3427,2491
"ENSMUSG00000000724",1,0,5,0,1,2,2,5
"ENSMUSG00000000730",5,3,6,3,6,4,6,5
"ENSMUSG00000000731",9,4,5,3,9,6,1,3
"ENSMUSG00000000732",281,301,291,293,365,308,498,252
"ENSMUSG00000000738",1137,1079,1611,1654,1707,1455,2741,1265
"ENSMUSG00000000739",33,41,23,43,68,37,54,19
"ENSMUSG00000000740",574,383,747,731,695,686,1211,527
"ENSMUSG00000000743",2084,1972,2363,2580,2712,2332,8028,1900
"ENSMUSG00000000751",1903,1605,2353,2545,2582,2194,2303,1894
"ENSMUSG00000000753",182,162,363,379,461,345,877,272
"ENSMUSG00000000759",1011,761,1210,1325,1342,1126,827,960
"ENSMUSG00000000766",94,63,236,194,114,159,26,90
"ENSMUSG00000000776",436,368,553,573,513,477,511,454
"ENSMUSG00000000782",97,65,145,145,116,106,133,98
"ENSMUSG00000000787",8656,6312,10809,12587,11991,8912,967,8347
"ENSMUSG00000000791",16,17,17,22,12,14,64,17
"ENSMUSG00000000792",563,483,775,789,744,740,1971,578
"ENSMUSG00000000794",1072,565,1285,1318,1003,1053,394,977
"ENSMUSG00000000804",6301,4332,7986,8758,8685,6671,632,6198
"ENSMUSG00000000805",627,607,630,768,1016,667,1532,632
"ENSMUSG00000000811",99,89,194,199,164,146,167,112
"ENSMUSG00000000817",3,3,6,0,1,2,0,0
"ENSMUSG00000000823",1656,1499,1815,2044,2101,1587,1759,1339
"ENSMUSG00000000826",13057,10714,16393,17453,17243,13813,10012,12659
"ENSMUSG00000000827",1056,774,1565,1495,1433,1184,1856,1055
"ENSMUSG00000000838",2464,1653,2910,3447,3424,2432,173,2302
"ENSMUSG00000000861",3420,2637,3320,3671,4485,3319,3905,3049
"ENSMUSG00000000869",226,115,255,260,249,202,31,196
"ENSMUSG00000000876",299,301,432,449,487,380,722,332
"ENSMUSG00000000881",6768,5661,6841,7763,8887,6400,2287,6042
"ENSMUSG00000000884",78,81,101,121,102,90,246,77
