"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000000560",7399,5706,7192,7424,10306,7085
"ENSMUSG00000000561",526,687,659,639,729,506
"ENSMUSG00000000562",30,18,37,32,16,29
"ENSMUSG00000000563",7670,8057,9123,9327,8729,9395
"ENSMUSG00000000567",1852,1145,1617,1671,1874,1319
"ENSMUSG00000000568",5472,4893,4681,5383,6063,5509
"ENSMUSG00000000579",29,21,24,40,25,35
"ENSMUSG00000000581",582,764,992,933,1040,668
"ENSMUSG00000000594",2118,2138,2493,2757,2408,2153
"ENSMUSG00000000600",1645,1670,1800,1753,2008,1903
"ENSMUSG00000000605",6929,6570,7288,7361,8150,7699
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",921,964,860,968,930,833
"ENSMUSG00000000628",236,221,233,251,174,149
"ENSMUSG00000000631",8699,8149,7060,7919,7290,9714
"ENSMUSG00000000632",7618,3787,4517,4526,9273,5176
"ENSMUSG00000000673",2,0,1,0,4,6
"ENSMUSG00000000682",26,51,53,39,19,29
"ENSMUSG00000000686",18,26,17,10,15,14
"ENSMUSG00000000690",0,0,0,0,0,0
"ENSMUSG00000000693",162,110,147,148,143,127
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,0,1,1,2,0
"ENSMUSG00000000708",773,711,904,1023,847,853
"ENSMUSG00000000711",5332,5222,6145,6404,6662,5429
"ENSMUSG00000000724",6,0,1,4,1,0
"ENSMUSG00000000730",4,0,3,2,2,5
"ENSMUSG00000000731",4,4,1,0,0,3
"ENSMUSG00000000732",39,70,62,77,115,53
"ENSMUSG00000000738",1196,1136,1102,1120,1077,1443
"ENSMUSG00000000739",1,0,2,0,0,0
"ENSMUSG00000000740",2026,2340,2120,2249,2556,1705
"ENSMUSG00000000743",882,1337,1286,1126,1323,837
"ENSMUSG00000000751",1201,1031,1429,1381,1357,1153
"ENSMUSG00000000753",543,363,612,554,381,369
"ENSMUSG00000000759",1439,1323,1268,1430,1746,1413
"ENSMUSG00000000766",162,121,169,145,337,178
"ENSMUSG00000000776",634,535,667,605,733,704
"ENSMUSG00000000782",127,108,113,137,119,109
"ENSMUSG00000000787",15348,11798,15799,16665,15786,16554
"ENSMUSG00000000791",23,21,39,15,20,8
"ENSMUSG00000000792",241,137,150,156,340,211
"ENSMUSG00000000794",1238,1139,1075,1290,2187,1078
"ENSMUSG00000000804",10199,12796,11187,12246,10476,12121
"ENSMUSG00000000805",739,977,1027,1032,955,939
"ENSMUSG00000000811",279,225,271,341,170,278
"ENSMUSG00000000817",0,24,0,20,8,5
"ENSMUSG00000000823",1665,1500,1285,1375,1769,1697
"ENSMUSG00000000826",9579,10381,9365,10052,9387,9413
