"ENSMUSG00000001128",156,79,76,136,83,108,57,123,24,91,107,180
"ENSMUSG00000001131",405,165,202,205,278,104,171,180,64,107,222,321
"ENSMUSG00000001134",268,85,83,280,79,130,75,216,75,136,158,155
"ENSMUSG00000001138",1709,578,624,1728,696,953,517,1585,478,958,1152,1420
"ENSMUSG00000001143",1498,512,522,1344,636,776,444,1483,473,734,1033,1219
"ENSMUSG00000001150",1697,560,549,1783,623,977,558,1475,412,980,1151,1513
"ENSMUSG00000001151",1421,782,685,1489,782,886,471,1342,464,719,943,1363
"ENSMUSG00000001155",4,2,3,0,1,0,3,0,0,0,0,11
"ENSMUSG00000001156",569,319,249,589,318,368,203,487,208,348,478,567
"ENSMUSG00000001157",800,252,263,816,270,491,222,734,269,448,628,695
"ENSMUSG00000001158",712,236,255,817,240,386,219,524,221,340,427,468
"ENSMUSG00000001166",86,22,29,81,38,48,25,53,19,50,55,63
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",3770,1986,2043,4359,1934,2548,1492,3453,1184,2261,2644,3459
"ENSMUSG00000001175",12519,5183,6872,12068,5039,6539,4355,10500,3019,5838,7949,11822
"ENSMUSG00000001211",5007,1409,1325,5832,1567,3312,1579,5730,1552,3120,3746,3446
"ENSMUSG00000001225",5,1,0,11,3,1,0,10,0,1,2,0
"ENSMUSG00000001227",612,199,256,639,226,331,219,318,147,322,390,477
"ENSMUSG00000001228",106,29,38,134,31,74,23,125,42,52,85,95
"ENSMUSG00000001229",1374,437,531,1607,586,852,458,1297,392,746,951,1311
"ENSMUSG00000001240",456,163,208,513,154,287,157,305,132,285,277,318
"ENSMUSG00000001247",432,134,181,155,169,71,117,90,28,59,198,324
"ENSMUSG00000001248",1354,552,430,1171,491,721,506,781,318,630,825,1144
"ENSMUSG00000001249",9,4,6,11,3,1,3,6,1,0,5,11
"ENSMUSG00000001260",2,0,0,5,1,1,2,1,1,0,0,2
"ENSMUSG00000001270",1610,664,730,1218,948,658,525,839,305,593,1032,1963
"ENSMUSG00000001280",6632,2837,2787,6684,2911,3769,2039,5741,1801,3666,4227,5632
