"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000067656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067702",0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,0
"ENSMUSG00000067704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067713",54,45,131,105,80,42,96,93,87,206,252,179,1626,460,78,1100,122,261,388,125
"ENSMUSG00000067714",0,12,2,0,0,0,0,0,0,1,0,7,6,0,0,2,0,15,3,0
"ENSMUSG00000067716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067719",1,2,8,4,2,3,1,9,7,2,3,4,51,7,4,18,4,3,1,4
"ENSMUSG00000067722",146,49,87,293,82,82,124,243,237,404,313,212,1812,643,193,1478,230,434,546,150
"ENSMUSG00000067724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"ENSMUSG00000067736",0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000067745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067750",35,2,10,19,4,1,12,30,52,68,47,45,66,58,0,64,3,49,65,1
"ENSMUSG00000067764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067767",0,0,11,0,3,0,17,0,0,0,0,0,0,0,0,2,0,2,0,0
"ENSMUSG00000067768",132,71,68,108,90,57,46,151,85,194,210,162,764,245,82,842,156,146,340,62
"ENSMUSG00000067771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067773",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000067780",9,4,3,10,1,11,13,7,5,8,14,3,21,12,0,13,7,5,1,11
"ENSMUSG00000067786",28,9,31,76,1,0,4,1,85,78,57,81,1941,6,209,47,9,2,16,65
"ENSMUSG00000067787",94,50,39,126,54,48,64,184,37,158,79,99,1202,142,83,458,31,123,166,33
"ENSMUSG00000067795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067813",0,0,2,1,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0
"ENSMUSG00000067818",36,62,18,150,52,35,10,146,1,33,10,13,631,162,16,383,92,102,30,26
"ENSMUSG00000067825",34,51,20,56,41,8,53,106,60,129,54,88,479,124,29,253,68,35,133,0
"ENSMUSG00000067835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067847",519,735,400,1085,418,449,393,1513,406,1096,1092,1025,9441,2016,1093,6010,650,1465,1661,811
"ENSMUSG00000067848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067851",313,269,431,399,234,307,330,735,285,698,809,559,2605,924,326,1723,745,345,1006,221
"ENSMUSG00000067855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067860",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0
"ENSMUSG00000067869",1,3,2,2,1,0,3,4,2,1,9,3,29,8,2,16,2,0,7,1
"ENSMUSG00000067870",98,131,121,170,149,92,145,279,88,293,391,275,1631,762,205,1550,263,264,600,130
"ENSMUSG00000067872",0,0,0,4,0,0,0,1,0,8,0,0,0,0,0,9,0,0,0,0
"ENSMUSG00000067873",125,119,197,242,113,79,90,194,80,320,466,178,1871,507,191,1307,198,176,664,88
"ENSMUSG00000067878",0,0,0,7,0,0,0,16,0,0,18,0,61,22,2,12,16,20,14,0
"ENSMUSG00000067879",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067882",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067889",0,0,0,0,0,0,0,0,0,1,0,8,1,1,1,8,0,0,0,3
"ENSMUSG00000067909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067916",20,14,7,17,15,7,11,34,23,20,8,3,96,48,13,123,5,30,45,2
"ENSMUSG00000067919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067924",18,104,22,43,62,13,2,112,16,106,150,42,779,127,34,672,38,59,222,20
"ENSMUSG00000067925",6,7,21,35,0,12,6,14,25,45,29,19,259,117,21,305,22,32,108,26
"ENSMUSG00000067928",18,12,78,100,21,44,66,87,32,36,49,13,384,130,56,168,50,15,93,21
"ENSMUSG00000067931",19,13,16,9,17,9,13,43,23,20,58,21,133,37,4,61,22,16,46,1
"ENSMUSG00000067941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067942",87,74,49,119,76,82,89,169,100,194,145,139,669,307,128,554,213,141,403,68
"ENSMUSG00000067949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067995",54,40,45,119,79,25,67,171,63,168,242,83,1118,286,63,1006,102,137,251,51
"ENSMUSG00000067996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"ENSMUSG00000068009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068011",3,0,1,0,0,10,2,8,0,4,0,0,2,24,0,32,12,0,13,1
"ENSMUSG00000068014",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1
"ENSMUSG00000068015",123,85,231,154,93,119,61,253,152,321,306,185,896,461,138,939,199,158,464,53
"ENSMUSG00000068036",61,101,75,151,61,52,78,200,67,290,88,63,1115,166,104,533,75,84,167,24
"ENSMUSG00000068037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068039",246,181,233,460,269,110,308,734,169,486,1313,521,5472,1573,455,4586,427,665,1600,258
"ENSMUSG00000068040",114,73,92,184,73,31,51,290,66,223,328,176,1535,509,240,1042,238,183,380,146
"ENSMUSG00000068048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068079",0,4,1,80,25,11,8,54,2,9,2,19,253,12,34,58,23,11,17,34
"ENSMUSG00000068082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068085",0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0
"ENSMUSG00000068086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068101",1,25,1,1,13,3,18,37,1,35,168,60,1250,403,19,1470,4,126,179,21
"ENSMUSG00000068105",0,12,6,21,11,0,2,28,0,26,33,2,236,1,0,33,0,13,16,9
"ENSMUSG00000068113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068114",37,14,57,21,28,16,1,108,4,48,106,78,237,79,63,377,46,12,63,26
"ENSMUSG00000068115",0,0,1,0,18,1,29,0,1,6,0,4,63,0,0,6,0,6,22,0
"ENSMUSG00000068117",0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,4,0
"ENSMUSG00000068120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068129",0,0,0,0,18,1,0,4,2,33,6,34,110,56,0,49,5,14,19,14
"ENSMUSG00000068130",20,2,3,2,28,1,14,0,11,15,4,2,26,14,1,38,5,15,1,5
"ENSMUSG00000068134",30,86,68,61,37,31,61,96,51,104,53,34,423,142,28,402,34,56,93,5
"ENSMUSG00000068141",1,0,0,0,0,0,0,1,0,0,0,0,29,9,0,1,2,0,2,1
"ENSMUSG00000068149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068151",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000068154",1,16,9,9,1,7,33,7,10,20,6,0,13,35,1,81,4,3,3,1
"ENSMUSG00000068165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000068182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068184",74,138,70,297,122,73,91,243,116,201,245,205,1773,440,193,1177,69,201,383,148
"ENSMUSG00000068196",0,0,2,19,2,0,0,15,0,0,6,0,59,0,0,0,6,0,0,5
"ENSMUSG00000068200",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,12,0,0,0,0
"ENSMUSG00000068205",27,10,27,7,40,10,31,30,6,59,53,45,216,43,47,240,31,53,53,7
"ENSMUSG00000068206",21,8,31,11,1,7,29,40,0,23,7,17,131,25,14,99,26,22,61,5
"ENSMUSG00000068218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068220",744,1039,625,2394,759,684,595,2342,1019,1904,3312,1750,26683,4851,3062,13367,1542,3606,3236,1858
"ENSMUSG00000068226",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000068227",41,32,41,28,45,39,48,112,4,122,115,63,231,51,32,359,26,45,183,29
"ENSMUSG00000068231",0,0,0,0,0,0,11,0,0,0,18,5,0,0,0,0,0,0,0,0
"ENSMUSG00000068232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068240",30,39,17,53,35,24,15,84,28,98,136,71,780,260,50,657,29,81,172,55
"ENSMUSG00000068243",0,0,0,0,2,0,0,6,0,1,1,0,10,3,1,7,0,1,1,1
"ENSMUSG00000068245",31,1,3,42,26,6,13,7,7,83,48,7,170,11,19,92,0,35,10,28
"ENSMUSG00000068246",1,0,6,2,0,2,0,0,0,5,19,14,20,9,0,43,10,0,6,7
"ENSMUSG00000068250",298,175,229,218,176,149,123,369,218,263,289,368,1318,511,112,983,359,291,481,146
"ENSMUSG00000068252",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
"ENSMUSG00000068259",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,9,0,0,0,0
"ENSMUSG00000068262",6,13,8,13,10,7,17,19,11,33,49,40,177,64,17,134,18,21,58,11
"ENSMUSG00000068263",0,11,0,1,0,0,0,0,0,16,0,0,0,0,1,0,0,3,0,0
"ENSMUSG00000068264",6,29,15,67,2,8,22,67,15,30,37,41,258,53,9,275,7,7,71,17
"ENSMUSG00000068267",55,52,28,179,59,78,31,151,48,64,161,83,987,173,110,364,93,116,294,90
"ENSMUSG00000068270",0,0,1,3,15,0,0,0,0,0,5,0,15,0,13,3,1,2,1,0
"ENSMUSG00000068284",176,107,188,198,203,140,76,207,141,198,317,202,1633,477,182,1189,181,178,449,66
"ENSMUSG00000068289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068290",135,210,217,331,178,132,109,510,245,311,268,308,2892,537,282,1321,298,510,404,202
"ENSMUSG00000068299",0,0,0,3,11,0,0,4,0,0,1,0,7,31,0,13,20,0,7,0
"ENSMUSG00000068302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000068303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068314",0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,27,0,0,0,0
"ENSMUSG00000068323",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
"ENSMUSG00000068324",1,0,1,1,0,0,0,1,2,0,1,1,7,6,4,1,1,1,1,0
"ENSMUSG00000068327",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000068328",217,121,168,299,141,242,113,264,290,388,410,244,2746,892,215,2218,187,396,558,218
"ENSMUSG00000068329",61,92,92,81,103,59,99,90,25,110,214,105,980,244,87,831,84,100,234,167
"ENSMUSG00000068335",49,30,12,9,16,15,6,52,6,28,57,30,343,127,36,261,11,46,106,10
"ENSMUSG00000068341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068349",0,0,0,10,0,13,7,0,0,0,0,0,4,0,0,0,0,0,0,0
"ENSMUSG00000068373",7,0,0,0,1,0,0,1,0,7,0,0,0,5,0,15,0,3,6,0
"ENSMUSG00000068391",153,185,118,247,111,131,168,322,118,422,543,293,2111,535,267,1667,242,341,419,219
"ENSMUSG00000068392",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000068394",70,38,73,67,44,35,56,145,36,112,137,145,226,208,69,373,144,99,198,28
"ENSMUSG00000068396",18,35,32,24,16,28,32,76,51,75,66,58,635,195,67,358,35,46,105,19
"ENSMUSG00000068397",6,4,11,8,2,9,15,30,12,24,34,28,167,56,11,189,15,18,45,9
"ENSMUSG00000068399",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068407",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068417",0,0,4,23,1,0,2,1,0,0,0,9,11,2,0,59,0,0,15,0
"ENSMUSG00000068428",0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068452",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068457",230,188,197,165,135,150,219,235,143,194,265,172,643,417,140,412,209,124,406,76
"ENSMUSG00000068463",99,79,76,113,59,48,62,153,102,260,63,114,369,251,31,591,84,92,239,56
"ENSMUSG00000068466",0,0,0,0,0,0,0,0,0,2,1,0,6,0,2,7,1,1,3,1
"ENSMUSG00000068479",110,80,77,149,109,49,109,120,123,188,365,107,2059,360,132,1099,170,179,656,20
"ENSMUSG00000068480",0,3,0,0,0,0,0,0,0,0,0,8,6,0,1,1,1,1,0,0
"ENSMUSG00000068487",0,0,0,1,0,0,0,1,0,0,8,0,7,2,0,6,0,3,0,0
"ENSMUSG00000068506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068523",177,255,140,430,184,162,179,606,299,766,767,395,5932,1558,411,4928,355,570,1039,243
"ENSMUSG00000068535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068547",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,4,0,1
"ENSMUSG00000068551",63,61,20,35,21,41,37,83,12,72,30,37,400,113,56,281,17,35,38,17
"ENSMUSG00000068566",7,3,18,44,15,1,40,79,17,45,46,5,352,27,5,64,27,9,52,26
"ENSMUSG00000068574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068579",0,0,0,1,0,0,0,1,0,0,2,0,7,2,1,3,1,1,0,0
"ENSMUSG00000068580",16,28,44,44,41,6,49,24,29,99,125,74,611,152,27,621,90,71,211,42
"ENSMUSG00000068587",3,5,17,4,1,0,6,34,1,5,3,2,30,19,0,55,0,4,68,0
"ENSMUSG00000068600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068601",1,25,0,2,0,1,0,11,0,1,0,1,51,0,0,11,0,6,2,0
"ENSMUSG00000068604",0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,14,0,0,0,0
"ENSMUSG00000068606",0,0,0,4,2,2,0,29,0,8,9,1,41,0,0,0,27,5,3,6
"ENSMUSG00000068614",0,1,0,38,540,72,2,425,5,4,2,5,2425,1,465,15,69,74,55,64
"ENSMUSG00000068615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068617",3,0,0,8,4,0,33,9,0,0,0,0,98,1,0,13,1,30,0,15
"ENSMUSG00000068629",0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0
"ENSMUSG00000068631",0,0,0,1,0,0,0,1,0,0,0,9,1,1,0,3,0,0,0,0
"ENSMUSG00000068647",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000068663",50,21,16,34,42,11,2,27,3,37,25,59,175,89,18,168,22,22,176,20
"ENSMUSG00000068674",5,12,25,9,7,8,7,16,10,27,26,42,178,62,28,100,7,25,23,10
"ENSMUSG00000068680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0
"ENSMUSG00000068686",0,11,0,3,6,10,1,57,13,0,12,5,183,16,23,25,4,70,13,18
"ENSMUSG00000068689",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"ENSMUSG00000068696",0,0,0,0,2,3,10,1,0,0,2,0,39,7,0,42,27,12,8,0
"ENSMUSG00000068697",0,0,1,11,5,1,9,10,4,5,2,22,12,2,1,3,3,4,3,1
"ENSMUSG00000068699",17,0,0,0,0,0,18,1,0,0,12,0,135,1,0,1,1,0,0,0
"ENSMUSG00000068706",37,73,35,141,70,42,57,144,61,126,164,119,1129,349,115,912,68,191,219,69
"ENSMUSG00000068732",31,15,6,63,52,38,25,91,65,137,138,98,413,206,20,495,68,50,138,65
"ENSMUSG00000068735",175,85,113,211,94,101,199,282,152,584,722,366,2495,921,218,2945,339,355,1084,165
"ENSMUSG00000068739",78,124,88,184,90,58,71,232,124,304,583,151,2223,735,119,2032,250,277,638,145
"ENSMUSG00000068740",12,50,21,64,9,47,1,42,18,38,45,19,173,178,22,197,33,37,75,2
"ENSMUSG00000068742",23,6,22,33,39,18,24,81,0,42,40,54,244,42,8,159,60,24,123,8
"ENSMUSG00000068744",0,0,3,0,0,7,2,48,21,14,76,34,306,91,12,296,5,30,128,0
"ENSMUSG00000068745",1,0,1,1,76,2,4,78,0,0,0,0,301,0,83,0,0,24,1,18
"ENSMUSG00000068747",22,38,23,99,55,33,37,109,18,61,68,55,926,110,99,222,113,92,147,40
"ENSMUSG00000068748",123,140,109,101,63,87,124,206,56,287,57,64,227,118,96,334,51,66,193,54
"ENSMUSG00000068749",67,166,105,305,203,105,194,373,147,530,467,329,3729,1064,379,3768,257,412,666,177
"ENSMUSG00000068758",9,41,16,4,4,14,13,83,32,7,25,46,289,51,0,110,36,2,52,20
"ENSMUSG00000068762",0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,9,0,3,0,0
"ENSMUSG00000068776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068794",0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0
"ENSMUSG00000068798",453,416,387,531,451,430,491,1000,390,1084,1323,810,5599,2088,546,4514,610,779,1511,299
"ENSMUSG00000068806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ENSMUSG00000068808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068809",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000068810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068823",655,604,589,1704,590,644,737,1613,766,1453,1543,949,14736,3042,835,7337,1044,1778,2887,590
"ENSMUSG00000068824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068854",52,14,17,26,12,45,56,18,46,24,137,78,859,221,52,690,67,120,359,11
"ENSMUSG00000068855",2,34,1,105,3,18,58,61,38,87,2113,728,3980,1613,314,1872,348,433,1514,75
"ENSMUSG00000068856",21,34,34,64,28,15,32,66,17,93,170,76,1088,232,56,1191,54,97,220,36
"ENSMUSG00000068859",0,0,0,3,0,1,9,2,0,10,0,0,9,2,0,2,1,0,4,0
"ENSMUSG00000068860",1,0,0,0,0,0,0,18,11,1,1,9,10,0,0,39,0,22,15,0
"ENSMUSG00000068874",28,23,17,143,38,15,34,66,31,31,3,14,372,15,18,118,22,15,91,66
"ENSMUSG00000068876",9,0,10,35,7,2,12,23,4,11,0,32,262,50,28,108,26,0,37,10
"ENSMUSG00000068877",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068882",735,618,755,787,434,454,750,1252,442,1224,1847,977,7775,2493,661,6475,1015,1071,2718,528
"ENSMUSG00000068885",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068887",0,0,0,0,0,0,6,28,0,0,0,8,0,0,0,0,0,0,14,0
"ENSMUSG00000068888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068889",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000068890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000068893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068917",98,66,88,70,46,53,60,160,52,200,231,125,731,413,77,722,76,136,381,51
"ENSMUSG00000068921",280,330,178,411,238,200,210,556,161,656,800,410,4180,1403,352,3827,377,620,1158,184
"ENSMUSG00000068922",24,23,12,14,18,8,10,43,2,33,87,30,212,92,15,238,20,0,68,45
"ENSMUSG00000068923",20,12,25,57,20,8,25,134,61,63,21,41,274,75,12,201,25,31,62,4
"ENSMUSG00000068940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068950",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068957",0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0
"ENSMUSG00000068959",18,36,0,5,0,5,2,45,0,1,5,18,23,17,6,99,18,9,6,0
"ENSMUSG00000068962",1,0,1,0,14,0,8,1,0,0,1,0,46,13,1,16,0,10,29,1
"ENSMUSG00000068964",0,0,0,0,0,0,1,0,0,0,0,0,11,5,0,2,0,0,0,0
"ENSMUSG00000068966",74,49,67,36,37,34,77,84,27,90,100,35,287,253,48,347,73,76,104,55
"ENSMUSG00000068969",0,0,1,0,0,0,0,1,1,2,1,0,10,3,2,13,0,0,1,0
"ENSMUSG00000068999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069011",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"ENSMUSG00000069014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069020",37,13,20,6,10,27,46,99,32,72,114,28,360,111,41,503,82,42,118,41
