"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000000560",0,0,1,1,0,0,0,6,0,0,0,0,4,0,1,3,9,0,0,0
"ENSMUSG00000000561",80,112,119,84,22,40,47,77,49,112,145,100,683,200,39,684,149,136,230,75
"ENSMUSG00000000562",3,0,0,0,0,0,0,34,0,0,0,37,0,2,1,4,0,0,0,0
"ENSMUSG00000000563",778,1256,860,2395,1057,1052,911,2464,1078,1880,2376,1374,19976,4690,2045,12799,1623,3177,3760,1106
"ENSMUSG00000000567",38,54,31,77,115,92,55,115,115,149,81,57,886,392,28,701,67,109,169,24
"ENSMUSG00000000568",186,203,231,280,148,127,214,462,155,607,1148,341,4664,1455,201,4136,388,466,1416,226
"ENSMUSG00000000579",1,25,10,7,7,11,12,15,5,16,1,12,17,18,3,50,35,20,25,6
"ENSMUSG00000000581",324,314,316,442,264,251,399,651,202,579,848,597,4265,1442,497,4207,405,608,1245,338
"ENSMUSG00000000594",306,245,152,742,323,168,201,457,293,371,325,335,6480,1075,288,2556,352,680,741,250
"ENSMUSG00000000600",717,528,882,513,609,684,741,1279,671,1027,954,867,2420,1322,582,2641,813,777,1514,344
"ENSMUSG00000000605",258,228,293,266,245,268,110,548,226,566,471,385,2772,1060,232,1918,363,445,854,242
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,11,1,0,1,0,4,0,12,0,6,0,1,12,0,2,0,0,0
"ENSMUSG00000000627",0,19,3,1,0,0,0,1,3,12,0,0,9,2,0,35,0,5,1,16
"ENSMUSG00000000628",97,105,10,437,207,201,45,265,62,52,63,65,3499,71,227,385,97,697,112,150
"ENSMUSG00000000631",130,122,121,263,120,130,137,267,114,286,520,232,1465,611,129,1596,216,152,651,94
"ENSMUSG00000000632",0,0,0,1,0,19,12,0,1,0,1,1,0,8,0,0,0,4,0,0
"ENSMUSG00000000673",0,0,0,0,0,10,0,24,0,10,37,0,150,1,9,12,1,3,24,4
"ENSMUSG00000000682",1287,1773,1660,2465,1687,1086,2016,5160,2209,5947,3568,2664,13920,9554,1463,20747,2189,3000,4858,1469
"ENSMUSG00000000686",21,16,10,31,13,31,3,17,14,0,25,8,258,32,16,129,43,9,69,36
"ENSMUSG00000000690",1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000693",3,0,1,13,11,8,4,5,0,4,1,2,14,0,2,29,1,10,4,4
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000000708",279,197,341,360,237,149,339,551,274,703,450,318,1916,623,217,1492,417,443,583,134
"ENSMUSG00000000711",80,86,86,57,38,14,48,129,68,132,125,106,899,248,52,569,113,84,287,20
"ENSMUSG00000000724",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,6,0,0
