"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000001014",11,8,6,15,7,4,5,12,0
"ENSMUSG00000001016",355,445,398,518,352,318,378.01,350,372
"ENSMUSG00000001017",1348,1525,1419,1716,1365.74,1296.67,1673,1597.4,1451
"ENSMUSG00000001018",336,396,252,376,261,308,455,299,342
"ENSMUSG00000001020",19,19,18,23,17,5,13,3.63,10
"ENSMUSG00000001021",0,0,0,2,0,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025",19,20,26,47,21,27,35,46,25
"ENSMUSG00000001027",1,0,0,1,0,0,0,1,3
"ENSMUSG00000001029",76,110,72,130,70,97,46,76,96
"ENSMUSG00000001034",51,63,50,71,37,43,47,64,50
"ENSMUSG00000001036",159,176,236,307,186,208,253,223,190
"ENSMUSG00000001039",9,13,10,12,13,5,5,9,6
"ENSMUSG00000001052",572,669,644,847,687,688,796,641,680
"ENSMUSG00000001053",87,137,115,127,126,109,110,141,116
"ENSMUSG00000001054",258,374,340,411,280,314,393,305,326
"ENSMUSG00000001056",361,440,396,593,306,312,364,469,391
"ENSMUSG00000001062",340,394.11,350,609.18,375,382,395,426,309.22
"ENSMUSG00000001065",307,529,322,497,325,364,354,322,244
"ENSMUSG00000001076",5,3,4,1,1,0,4,5,2
"ENSMUSG00000001082",58,77,63,112,63,55,63,52,68
"ENSMUSG00000001089",340,502,526,605,354,486,590,436,390
"ENSMUSG00000001095",114,123,135,104,32,30,142,95,159
"ENSMUSG00000001098",327,427,386,634,379,453,429,403,426
"ENSMUSG00000001100",2329,2459,2444,2970,2267,2399,2546,2898,2665
"ENSMUSG00000001103",7,10,18,14,2,3,16,9,12
"ENSMUSG00000001105",978,970,975,1417,923,833,868,1059,898
"ENSMUSG00000001119",138,152,129,233,157,283,186,139,178
"ENSMUSG00000001120",24,30,45,33,31,25,30,51,30
"ENSMUSG00000001123",17951,17943,16843,22463,16605,16803,17547,18268,18294
"ENSMUSG00000001127",1572,1438,1508,2055,1565,1613,1634,1392,1509
